,token
0,운행
1,시작하
2,운행
3,시작하
4,운행
5,운행
6,운행
7,시작하
8,운행
9,시작하
10,운행
11,시작
12,운행
13,하자
14,운행
15,해
16,배달
17,시작하
18,배달
19,시작하
20,배달
21,시작
22,배달
23,하자
24,배달
25,해
26,배달
27,시작하
28,배달
29,시작하
30,배달
31,시작
32,배달
33,배달
34,배달
35,시작하
36,식당
37,전화
38,식당
39,전화
40,식당
41,전화
42,식당
43,전
44,화해
45,식당
46,전화
47,가게
48,전화
49,가게
50,전화
51,가게
52,전화
53,가게
54,전
55,화해
56,가게
57,전화
58,음식점
59,전화
60,음식점
61,전화
62,음식점
63,전화
64,음식점
65,전
66,화해
67,음식점
68,전화
69,식당
70,도착
71,식당
72,식당
73,식당
74,식당
75,오
76,식당
77,도착
78,식당
79,도착
80,식당
81,도착
82,식당
83,도착
84,식당
85,오
86,음식점
87,도착
88,음식점
89,음식점
90,음식점
91,음식점
92,오
93,음식점
94,도착
95,음식점
96,도착
97,음식점
98,도착
99,음식점
100,도착
101,음식점
102,오
103,가게
104,도착
105,가게
106,도착
107,가게
108,도착
109,가게
110,도착
111,가게
112,오
113,가게
114,도착
115,가게
116,도착
117,가게
118,도착
119,가게
120,도착
121,가게
122,오
123,픽업
124,픽업
125,완료
126,픽업
127,완료
128,픽업
129,픽업
130,완료
131,픽업
132,완료
133,음식
134,찾
135,음식
136,받
137,음식
138,찾
139,음식
140,받
141,음식
142,픽업
143,음식
144,픽업
145,음식
146,픽업
147,완료
148,음식
149,완료
150,영수증
151,번호
152,6066
153,영수증
154,번호
155,9937
156,영수증
157,번호
158,5642
159,영수증
160,번호
161,8522
162,영수증
163,번호
164,4402
165,영수증
166,번호
167,9781
168,영수증
169,번호
170,7056
171,영수증
172,번호
173,9385
174,영수증
175,번호
176,5229
177,영수증
178,번호
179,7547
180,주문
181,번호
182,9945
183,주문
184,번호
185,3931
186,주문
187,번호
188,9052
189,주문
190,번호
191,3715
192,주문
193,번호
194,9972
195,주문
196,번호
197,1575
198,주문
199,번호
200,5248
201,주문
202,번호
203,4889
204,주문
205,번호
206,5675
207,주문
208,번호
209,7614
210,뒷자리
211,4403
212,뒷자리
213,7465
214,뒷자리
215,7370
216,뒷자리
217,8762
218,뒷자리
219,1158
220,뒷자리
221,8000
222,뒷자리
223,9244
224,뒷자리
225,7858
226,뒷자리
227,4918
228,뒷자리
229,4334
230,10
231,후
232,도착
233,10
234,분
235,이따가
236,도착
237,20
238,후
239,도착
240,20
241,분
242,이따가
243,도착
244,30
245,후
246,도착
247,30
248,분
249,이따가
250,도착
251,40
252,후
253,도착
254,40
255,분
256,이따가
257,도착
258,배달
259,완료
260,배달
261,완료
262,배달
263,끝내
264,배달
265,끝나
266,음식
267,배달
268,완료
269,음식
270,배달
271,완료
272,음식
273,배달
274,끝내
275,음식
276,배달
277,끝나
